Translation Key,dila-ai-markup-bk.js,dila-ai-markup-enhanced.js,dila-ai-markup-legacy.js,Java Files
view.title,✓,✓,✓,✓
actions.menu,✓,✓,✓,✓
ai.markup.action,✓,✓,✓,✓
tag.removal.action,✓,✓,✓,✓
options.menu,,,✓,
preferences.action,✓,✓,✓,✓
initial.info,✓,✓,✓,✓
button.replace,✓,✓,✓,✓
action.ai.markup.selected,✓,✓,✓,✓
system.prompt.ai.markup,✓,✓,✓,
llm.error,✓,✓,✓,
text.replaced,✓,✓,✓,
text.mode.not.active.for.replace,✓,✓,✓,
error.replacing.text,✓,✓,✓,
text.editor.not.open,✓,✓,✓,
no.text.to.replace,✓,✓,✓,
action.tag.removal.selected,✓,✓,✓,✓
action.settings.selected,✓,✓,✓,
selected.text.label,✓,✓,✓,✓
no.text.selected,✓,✓,✓,✓
not.text.mode,✓,✓,✓,
no.editor.open,✓,✓,✓,
ft.parse.model.label,,,,✓
ft.detect.model.label,,,,✓
api.key.label,,,,✓
options.panel.title,✓,✓,✓,✓
options.info,,,,✓
options.saved.successfully,,,,✓
options.saved.failed,,,,✓
save.button,,,,✓
preferences.page.title,,,,✓
menu.tools,✓,✓,✓,✓
menu.tools.utf8.check,✓,✓,✓,✓
utf8.check.select.files,✓,✓,✓,
utf8.check.cancelled,✓,✓,✓,
utf8.check.dialog.title,✓,✓,✓,
utf8.scanning.files,✓,✓,✓,
utf8.check.found.non.utf8,✓,✓,✓,
utf8.check.more.files,✓,✓,✓,
utf8.check.all.valid,✓,✓,✓,
utf8.check.select.encoding,✓,✓,✓,
utf8.conversion.started,✓,✓,✓,
utf8.conversion.backing.up,✓,✓,✓,
utf8.conversion.success,✓,✓,✓,
utf8.conversion.failed,✓,✓,✓,
utf8.conversion.summary,✓,✓,✓,
utf8.conversion.success.count,✓,✓,✓,
utf8.conversion.fail.count,✓,✓,✓,
utf8.conversion.cancelled,✓,✓,✓,
utf8.conversion.error,✓,✓,✓,
utf8.conversion.backup.note,✓,✓,✓,
button.convert,✓,✓,✓,
button.cancel,✓,✓,✓,✓
button.transfer.utf8,,,✓,✓
ui.text.with.length,,,,✓
ui.utf8.all.valid,,,,✓
ui.utf8.non.utf8.found,,,,✓
ui.utf8.conversion.completed,,,,✓
ui.utf8.conversion.cancelled,,,,✓
ui.utf8.successfully.converted,,,,✓
ui.utf8.failed.conversions,,,,✓
ui.error.processing.ai.markup,,,,✓
ui.error.checking.utf8,,,,✓
ui.error.accessing.editor,,,,✓
ui.error.converting.files,,,,✓
--- MISSING KEYS (Not in translation.xml) ---,,,,
utf8.check.no.files.selected-bk+legacy,❌,,❌,
replace.button-bk,❌,,,
